Cohort_File	Samples	Reads	Rel_A	Rel_C	Rel_G	Rel_T	SNPs_AF>25_%	min_0.90_A	min_0.90_C	min_0.90_G	min_0.90_T	min_2_A	min_2_C	min_2_G	min_2_T
pileup_tumor_BLCA-US.txt	23	1118	0.0894454382826475	99.73166368515206	0.0	0.1788908765652951	0.0	0.0	100.0	0.0	0.0	0.0	100.0	0.0	0.0
pileup_control_BLCA-US.txt	23	939	0.1064962726304579	99.78700745473908	0.1064962726304579	0.0	0.0	0.0	100.0	0.0	0.0	0.0	100.0	0.0	0.0
pileup_tumor_BOCA-UK.txt	76	2912	0.0686813186813186	99.79395604395604	0.103021978021978	0.0343406593406593	0.0	0.0	100.0	0.0	0.0	0.0	100.0	0.0	0.0
pileup_control_BOCA-UK.txt	76	2337	0.2139495079161318	99.70047068891742	0.0	0.0855798031664527	0.0	0.0	100.0	0.0	0.0	0.0	100.0	0.0	0.0
pileup_tumor_BRCA-EU.txt	79	3151	0.2221516978736908	99.55569660425262	0.0952078705172961	0.1269438273563947	0.0	0.0	100.0	0.0	0.0	0.0	100.0	0.0	0.0
pileup_control_BRCA-EU.txt	79	2366	0.2958579881656805	99.45054945054945	0.0845308537616229	0.1690617075232459	0.0	0.0	100.0	0.0	0.0	0.0	100.0	0.0	0.0
pileup_tumor_BRCA-UK.txt	46	1732	0.1732101616628175	99.65357967667435	0.0	0.1732101616628175	0.0	0.0	100.0	0.0	0.0	2.1739	100.0	0.0	0.0
pileup_control_BRCA-UK.txt	46	1173	0.3410059676044331	99.31798806479114	0.1705029838022165	0.1705029838022165	0.0	0.0	100.0	0.0	0.0	0.0	100.0	0.0	0.0
pileup_tumor_BRCA-US.txt	92	4123	0.1212709192335678	99.6361872422993	0.1455251030802813	0.0970167353868542	0.0	0.0	100.0	0.0	0.0	0.0	100.0	0.0	0.0
pileup_control_BRCA-US.txt	92	2216	0.0902527075812274	99.59386281588448	0.1353790613718411	0.1805054151624548	0.0	0.0	100.0	0.0	0.0	0.0	100.0	0.0	0.0
pileup_tumor_BTCA-SG.txt	12	605	0.4958677685950413	99.50413223140497	0.0	0.0	0.0	0.0	100.0	0.0	0.0	8.3333	100.0	0.0	0.0
pileup_control_BTCA-SG.txt	12	668	0.1497005988023952	99.8502994011976	0.0	0.0	0.0	0.0	100.0	0.0	0.0	0.0	100.0	0.0	0.0
pileup_tumor_CESC-US.txt	20	988	0.3036437246963562	99.59514170040484	0.1012145748987854	0.0	0.0	0.0	100.0	0.0	0.0	5.0	100.0	0.0	0.0
pileup_control_CESC-US.txt	20	486	0.411522633744856	99.38271604938272	0.205761316872428	0.0	0.0	0.0	100.0	0.0	0.0	0.0	100.0	0.0	0.0
pileup_tumor_CLLE-ES.txt	100	2308	0.0866551126516464	99.87001733102252	0.0	0.0433275563258232	0.0	0.0	99.0	0.0	0.0	0.0	100.0	0.0	0.0
pileup_control_CLLE-ES.txt	100	2230	0.0448430493273542	99.73094170403589	0.179372197309417	0.0448430493273542	0.0	0.0	100.0	0.0	0.0	0.0	100.0	0.0	0.0
pileup_tumor_COAD-US.txt	46	2231	0.2241147467503361	99.5965934558494	0.0896458987001344	0.0896458987001344	0.0	0.0	100.0	0.0	0.0	0.0	100.0	0.0	0.0
pileup_control_COAD-US.txt	46	1197	0.0835421888053467	99.58228905597326	0.1670843776106934	0.1670843776106934	0.0	0.0	100.0	0.0	0.0	0.0	100.0	0.0	0.0
pileup_tumor_EOPC-DE.txt	36	1243	0.160901045856798	99.3563958165728	0.080450522928399	0.4022526146419952	0.0	0.0	100.0	0.0	0.0	0.0	100.0	0.0	0.0
pileup_control_EOPC-DE.txt	36	1216	0.0822368421052631	99.7532894736842	0.0	0.1644736842105263	0.0	0.0	100.0	0.0	0.0	0.0	100.0	0.0	0.0
pileup_tumor_ESAD-UK.txt	100	7147	0.1818945011893102	99.69217853644886	0.0979431929480901	0.02798376941374	0.0	0.0	100.0	0.0	0.0	2.0	100.0	1.0	0.0
pileup_control_ESAD-UK.txt	100	3407	0.0	99.79454065159965	0.1174053419430584	0.0880540064572938	0.0	0.0	100.0	0.0	0.0	0.0	100.0	1.0	0.0
pileup_tumor_GACA-CN.txt	42	1257	0.1591089896579156	99.52267303102626	0.0795544948289578	0.2386634844868735	0.0	0.0	100.0	0.0	0.0	0.0	100.0	0.0	0.0
pileup_control_GACA-CN.txt	42	1196	0.0	99.91638795986624	0.0	0.0836120401337792	0.0	0.0	100.0	0.0	0.0	0.0	100.0	0.0	0.0
pileup_tumor_GBM-US.txt	41	1996	0.4008016032064128	99.44889779559118	0.0	0.1503006012024048	0.0	0.0	100.0	0.0	0.0	2.439	100.0	0.0	0.0
pileup_control_GBM-US.txt	41	1337	0.0747943156320119	99.70082273747197	0.1495886312640239	0.0747943156320119	0.0	0.0	100.0	0.0	0.0	0.0	100.0	0.0	0.0
pileup_tumor_HNSC-US.txt	44	2546	0.1571091908876669	99.7643362136685	0.0392772977219167	0.0392772977219167	0.0	0.0	100.0	0.0	0.0	0.0	100.0	0.0	0.0
pileup_control_HNSC-US.txt	44	1263	0.1583531274742676	99.68329374505146	0.1583531274742676	0.0	0.0	0.0	100.0	0.0	0.0	0.0	100.0	0.0	0.0
pileup_tumor_KICH-US.txt	49	2323	0.3874300473525613	99.44037882049076	0.0860955660783469	0.0860955660783469	0.0	0.0	100.0	0.0	0.0	4.0816	100.0	0.0	0.0
pileup_control_KICH-US.txt	49	1154	0.3466204506065858	99.2201039861352	0.2599653379549393	0.1733102253032929	0.0	0.0	100.0	0.0	0.0	2.0408	100.0	0.0	0.0
pileup_tumor_KIRC-US.txt	40	1588	0.2518891687657431	99.55919395465996	0.0	0.1889168765743073	0.0	0.0	100.0	0.0	0.0	0.0	100.0	0.0	0.0
pileup_control_KIRC-US.txt	40	1237	0.0808407437348423	99.51495553759096	0.1616814874696847	0.2425222312045271	0.0	0.0	100.0	0.0	0.0	0.0	100.0	0.0	2.5
pileup_tumor_KIRP-US.txt	34	1521	0.3944773175542406	99.474030243261	0.1314924391847468	0.0	0.0	0.0	100.0	0.0	0.0	2.9412	100.0	0.0	0.0
pileup_control_KIRP-US.txt	34	914	0.3282275711159737	99.34354485776804	0.1094091903719912	0.2188183807439825	0.0	0.0	97.0588	0.0	0.0	0.0	100.0	0.0	0.0
pileup_tumor_LAML-KR.txt	10	206	0.0	99.51456310679612	0.4854368932038835	0.0	0.0	0.0	100.0	0.0	0.0	0.0	100.0	0.0	0.0
pileup_control_LAML-KR.txt	10	174	0.0	100.0	0.0	0.0	0.0	0.0	100.0	0.0	0.0	0.0	100.0	0.0	0.0
pileup_tumor_LAML-US.txt	33	778	0.2570694087403599	99.3573264781491	0.2570694087403599	0.1285347043701799	0.0	0.0	100.0	0.0	0.0	0.0	100.0	0.0	0.0
pileup_control_LAML-US.txt	33	697	0.1434720229555236	99.56958393113342	0.0	0.2869440459110473	0.0	0.0	100.0	0.0	0.0	0.0	100.0	0.0	0.0
pileup_tumor_LGG-US.txt	19	958	0.4175365344467641	99.26931106471817	0.208768267223382	0.104384133611691	0.0	0.0	100.0	0.0	0.0	0.0	100.0	0.0	0.0
pileup_control_LGG-US.txt	19	823	0.0	99.63547995139731	0.0	0.3645200486026732	0.0	0.0	100.0	0.0	0.0	0.0	100.0	0.0	0.0
pileup_tumor_LICA-FR.txt	6	171	0.0	100.0	0.0	0.0	0.0	0.0	100.0	0.0	0.0	0.0	100.0	0.0	0.0
pileup_control_LICA-FR.txt	6	170	0.5882352941176471	98.82352941176472	0.0	0.5882352941176471	0.0	0.0	100.0	0.0	0.0	0.0	100.0	0.0	0.0
pileup_tumor_LIHC-US.txt	54	2568	0.3894080996884735	99.41588785046729	0.0778816199376947	0.116822429906542	0.0	0.0	100.0	0.0	0.0	1.8519	100.0	0.0	0.0
pileup_control_LIHC-US.txt	54	1247	0.4811547714514835	99.1178829190056	0.1603849238171611	0.2405773857257417	0.0	0.0	100.0	0.0	0.0	0.0	100.0	0.0	0.0
pileup_tumor_LINC-JP.txt	31	1857	0.1077005923532579	99.78459881529348	0.0538502961766289	0.0538502961766289	0.0	0.0	100.0	0.0	0.0	0.0	100.0	0.0	0.0
pileup_control_LINC-JP.txt	31	1523	0.262639527248851	99.34340118187788	0.1313197636244255	0.262639527248851	0.0	0.0	100.0	0.0	0.0	0.0	100.0	0.0	0.0
pileup_tumor_LIRI-JP.txt	249	3832	0.104384133611691	99.55636743215032	0.1304801670146138	0.208768267223382	0.0	0.0	99.1968	0.0	0.0	0.0	100.0	0.0	0.0
pileup_control_LIRI-JP.txt	249	3883	0.1030131341746072	99.79397373165078	0.0515065670873036	0.0515065670873036	0.0	0.0	100.0	0.0	0.0	0.0	100.0	0.0	0.0
pileup_tumor_LUAD-US.txt	42	2374	0.16849199663016	99.5787700084246	0.08424599831508	0.16849199663016	0.0	0.0	100.0	0.0	0.0	0.0	100.0	0.0	2.381
pileup_control_LUAD-US.txt	42	1839	0.3262642740619902	99.29309407286569	0.1631321370309951	0.2175095160413268	0.0	0.0	100.0	0.0	0.0	0.0	100.0	0.0	0.0
pileup_tumor_LUSC-US.txt	48	3535	0.0848656294200848	99.4908062234795	0.2263083451202263	0.198019801980198	0.0	0.0	100.0	0.0	0.0	0.0	100.0	0.0	0.0
pileup_control_LUSC-US.txt	48	1823	0.0548546352166758	99.67087218869996	0.0	0.274273176083379	0.0	0.0	100.0	0.0	0.0	0.0	100.0	0.0	0.0
pileup_tumor_MELA-AU.txt	70	3815	0.2096985583224115	99.63302752293578	0.1048492791612057	0.0524246395806028	0.0	0.0	100.0	0.0	0.0	1.4286	100.0	0.0	0.0
pileup_control_MELA-AU.txt	70	2372	0.1686340640809443	99.78920741989882	0.0	0.042158516020236	0.0	0.0	100.0	0.0	0.0	0.0	100.0	0.0	0.0
pileup_tumor_ORCA-IN.txt	13	727	0.0	100.0	0.0	0.0	0.0	0.0	100.0	0.0	0.0	0.0	100.0	0.0	0.0
pileup_control_ORCA-IN.txt	13	356	0.0	100.0	0.0	0.0	0.0	0.0	100.0	0.0	0.0	0.0	100.0	0.0	0.0
pileup_tumor_OV-AU.txt	73	3995	0.1001251564455569	99.79974968710889	0.0750938673341677	0.0250312891113892	0.0	0.0	100.0	0.0	0.0	0.0	100.0	0.0	0.0
pileup_control_OV-AU.txt	73	2871	0.0348310693138279	99.82584465343086	0.0696621386276558	0.0696621386276558	0.0	0.0	100.0	0.0	0.0	0.0	100.0	0.0	0.0
pileup_tumor_OV-US.txt	45	2984	0.067024128686327	99.8324396782842	0.0335120643431635	0.067024128686327	0.0	0.0	100.0	0.0	0.0	0.0	100.0	0.0	0.0
pileup_control_OV-US.txt	45	1268	0.1577287066246056	99.8422712933754	0.0	0.0	0.0	0.0	100.0	0.0	0.0	0.0	100.0	0.0	0.0
pileup_tumor_PACA-AU.txt	99	6342	0.1419110690633869	99.70040996531064	0.0946073793755913	0.0630715862503942	0.0	0.0	100.0	0.0	0.0	1.0101	100.0	1.0101	0.0
pileup_control_PACA-AU.txt	99	3055	0.0981996726677577	99.80360065466448	0.0654664484451718	0.0327332242225859	0.0	0.0	100.0	0.0	0.0	0.0	100.0	0.0	0.0
pileup_tumor_PACA-CA.txt	146	7297	0.2055639303823489	99.5751678772098	0.1233383582294093	0.0959298341784294	0.0	0.0	100.0	0.0	0.0	0.6849	100.0	0.6849	0.0
pileup_control_PACA-CA.txt	146	4918	0.1830012200081333	99.59333062220416	0.101667344448963	0.1220008133387555	0.0	0.0	100.0	0.0	0.0	0.6849	100.0	0.0	0.0
pileup_tumor_PAEN-AU.txt	105	6071	0.0823587547356284	99.78586723768736	0.0164717509471256	0.1153022566298797	0.0	0.0	100.0	0.0	0.0	0.0	100.0	0.0	0.0
pileup_control_PAEN-AU.txt	105	3380	0.1479289940828402	99.58579881656804	0.1775147928994082	0.0887573964497041	0.0	0.0	100.0	0.0	0.0	0.0	100.0	0.0	0.0
pileup_tumor_PBCA-DE.txt	251	7530	0.1328021248339973	99.7609561752988	0.0664010624169986	0.0398406374501992	0.0	0.0	99.2032	0.0	0.0	0.0	100.0	0.0	0.0
pileup_control_PBCA-DE.txt	251	7474	0.0802782981000802	99.81268397109982	0.0668985817500669	0.0401391490500401	0.0	0.0	100.0	0.0	0.0	0.0	100.0	0.0	0.0
