Cohort_File	Samples	Reads	Rel_A	Rel_C	Rel_G	Rel_T	SNPs_AF>25_%	min_0.90_A	min_0.90_C	min_0.90_G	min_0.90_T	min_2_A	min_2_C	min_2_G	min_2_T
pileup_tumor_BLCA-US.txt	23	983	0.0	0.0	99.79654120040692	0.2034587995930824	0.0	0.0	0.0	100.0	0.0	0.0	0.0	100.0	0.0
pileup_control_BLCA-US.txt	23	977	0.0	0.0	99.69293756397134	0.3070624360286592	0.0	0.0	0.0	100.0	0.0	0.0	0.0	100.0	0.0
pileup_tumor_BOCA-UK.txt	75	3024	0.0	0.0661375661375661	99.76851851851852	0.1653439153439153	0.0	0.0	0.0	100.0	0.0	0.0	0.0	100.0	1.3333
pileup_control_BOCA-UK.txt	76	2581	0.1549786904300658	0.0774893452150329	99.49631925610228	0.2712127082526153	0.0	0.0	0.0	100.0	0.0	0.0	0.0	98.6842	0.0
pileup_tumor_BRCA-EU.txt	79	3185	0.1255886970172684	0.1255886970172684	99.49764521193092	0.2511773940345368	0.0	0.0	0.0	100.0	0.0	0.0	0.0	100.0	0.0
pileup_control_BRCA-EU.txt	79	2689	0.2231312755671253	0.1859427296392711	99.36779471922648	0.2231312755671253	0.0	0.0	0.0	100.0	0.0	0.0	0.0	100.0	0.0
pileup_tumor_BRCA-UK.txt	46	1601	0.0624609618988132	0.0624609618988132	99.75015615240474	0.1249219237976264	0.0	0.0	0.0	100.0	0.0	0.0	0.0	100.0	0.0
pileup_control_BRCA-UK.txt	46	1233	0.0	0.08110300081103	99.35117599351176	0.5677210056772101	0.0	0.0	0.0	100.0	0.0	0.0	0.0	100.0	0.0
pileup_tumor_BRCA-US.txt	92	4111	0.8270493797129652	0.0486499635125273	98.88105083921188	0.2432498175626368	1.0869565217391304	0.0	0.0	98.913	0.0	1.087	0.0	100.0	2.1739
pileup_control_BRCA-US.txt	92	2617	0.0764233855559801	0.1528467711119602	99.54145968666413	0.2292701566679404	0.0	0.0	0.0	100.0	0.0	0.0	1.087	100.0	0.0
pileup_tumor_BTCA-SG.txt	12	715	0.0	0.1398601398601398	99.72027972027972	0.1398601398601398	0.0	0.0	0.0	100.0	0.0	0.0	0.0	100.0	0.0
pileup_control_BTCA-SG.txt	12	742	0.0	0.0	99.73045822102426	0.2695417789757412	0.0	0.0	0.0	100.0	0.0	0.0	0.0	100.0	0.0
pileup_tumor_CESC-US.txt	20	1061	0.0942507068803016	0.0942507068803016	99.6229971724788	0.1885014137606032	0.0	0.0	0.0	100.0	0.0	0.0	0.0	100.0	0.0
pileup_control_CESC-US.txt	20	564	0.1773049645390071	0.0	99.645390070922	0.1773049645390071	0.0	0.0	0.0	100.0	0.0	0.0	0.0	100.0	0.0
pileup_tumor_CLLE-ES.txt	100	2792	0.1074498567335243	0.0358166189111747	99.35530085959886	0.501432664756447	1.0	0.0	0.0	98.0	0.0	0.0	0.0	100.0	0.0
pileup_control_CLLE-ES.txt	100	2275	0.0	0.0439560439560439	99.82417582417582	0.1318681318681318	0.0	0.0	0.0	100.0	0.0	0.0	0.0	99.0	0.0
pileup_tumor_COAD-US.txt	44	1975	0.050632911392405	0.1012658227848101	99.74683544303798	0.1012658227848101	0.0	0.0	0.0	100.0	0.0	0.0	0.0	95.4545	0.0
pileup_control_COAD-US.txt	43	1468	0.0681198910081744	0.0	99.65940054495913	0.2724795640326976	0.0	0.0	0.0	100.0	0.0	0.0	0.0	95.3488	2.3256
pileup_tumor_EOPC-DE.txt	36	1453	0.0688231245698554	0.0688231245698554	99.65588437715073	0.2064693737095664	0.0	0.0	0.0	100.0	0.0	0.0	0.0	100.0	0.0
pileup_control_EOPC-DE.txt	36	1420	0.0704225352112676	0.1408450704225352	99.43661971830986	0.352112676056338	0.0	0.0	0.0	100.0	0.0	0.0	0.0	100.0	0.0
pileup_tumor_ESAD-UK.txt	100	6145	0.016273393002441	0.048820179007323	99.77217249796584	0.16273393002441	0.0	0.0	0.0	100.0	0.0	0.0	0.0	100.0	0.0
pileup_control_ESAD-UK.txt	100	4044	0.0247279920870425	0.1236399604352126	99.6538081107814	0.1978239366963402	0.0	0.0	0.0	100.0	0.0	0.0	0.0	100.0	0.0
